~iteration~,lr
0,0.0001
50,0.0001
100,0.0001
150,0.0001
200,0.0001
250,0.0001
270,0.0001
320,0.0001
370,0.0001
420,0.0001
470,0.0001
520,0.0001
540,0.0001
590,0.0001
640,0.0001
690,0.0001
740,0.0001
790,0.0001
810,0.0001
860,0.0001
910,0.0001
960,0.0001
1010,0.0001
1060,0.0001
1080,0.0001
1130,0.0001
1180,0.0001
1230,0.0001
1280,0.0001
1330,0.0001
1350,0.0001
1400,0.0001
1450,0.0001
1500,0.0001
1550,0.0001
1600,0.0001
1620,0.0001
1670,0.0001
1720,0.0001
1770,0.0001
1820,0.0001
1870,0.0001
1890,0.0001
1940,0.0001
1990,0.0001
2040,0.0001
2090,0.0001
2140,0.0001
2160,0.0001
2210,0.0001
2260,0.0001
2310,0.0001
2360,0.0001
2410,0.0001
2430,0.0001
2480,0.0001
2530,0.0001
2580,0.0001
2630,0.0001
2680,0.0001
2700,0.0001
2750,0.0001
2800,0.0001
2850,0.0001
2900,0.0001
2950,0.0001
2970,0.0001
3020,0.0001
3070,0.0001
3120,0.0001
3170,0.0001
3220,0.0001
3240,0.0001
3290,0.0001
3340,0.0001
3390,0.0001
3440,0.0001
3490,0.0001
3510,0.0001
3560,0.0001
3610,0.0001
3660,0.0001
3710,0.0001
3760,0.0001
3780,0.0001
3830,0.0001
3880,0.0001
3930,0.0001
3980,0.0001
4030,0.0001
4050,0.0001
4100,0.0001
4150,0.0001
4200,0.0001
4250,0.0001
4300,0.0001
4320,0.0001
4370,0.0001
4420,0.0001
4470,0.0001
4520,0.0001
4570,0.0001
4590,0.0001
4640,0.0001
4690,0.0001
4740,0.0001
4790,0.0001
4840,0.0001
4860,0.0001
4910,0.0001
4960,0.0001
5010,0.0001
5060,0.0001
5110,0.0001
5130,0.0001
5180,0.0001
5230,0.0001
5280,0.0001
5330,0.0001
5380,0.0001
5400,0.0001
5450,0.0001
5500,0.0001
5550,0.0001
5600,0.0001
5650,0.0001
5670,0.0001
5720,0.0001
5770,0.0001
5820,0.0001
5870,0.0001
5920,0.0001
5940,0.0001
5990,0.0001
6040,0.0001
6090,0.0001
6140,0.0001
6190,0.0001
6210,0.0001
6260,0.0001
6310,0.0001
6360,0.0001
6410,0.0001
6460,0.0001
6480,0.0001
6530,0.0001
6580,0.0001
6630,0.0001
6680,0.0001
6730,0.0001
6750,0.0001
6800,0.0001
6850,0.0001
6900,0.0001
6950,0.0001
7000,0.0001
7020,0.0001
7070,0.0001
7120,0.0001
7170,0.0001
7220,0.0001
7270,0.0001
7290,0.0001
7340,0.0001
7390,0.0001
7440,0.0001
7490,0.0001
7540,0.0001
7560,0.0001
7610,0.0001
7660,0.0001
7710,0.0001
7760,0.0001
7810,0.0001
7830,0.0001
7880,0.0001
7930,0.0001
7980,0.0001
8030,0.0001
8080,0.0001
8100,0.0001
8150,0.0001
8200,0.0001
8250,0.0001
8300,0.0001
8350,0.0001
8370,0.0001
8420,0.0001
8470,0.0001
8520,0.0001
8570,0.0001
8620,0.0001
8640,0.0001
8690,0.0001
8740,0.0001
8790,0.0001
8840,0.0001
8890,0.0001
8910,0.0001
8960,0.0001
9010,0.0001
9060,0.0001
9110,0.0001
9160,0.0001
9180,0.0001
9230,0.0001
9280,0.0001
9330,0.0001
9380,0.0001
9430,0.0001
9450,0.0001
