~iteration~,metric_loss,total_loss
0,1,1
50,1,1
100,1,1
150,1,1
200,1,1
250,1,1
270,1,1
320,1,1
370,1,1
420,1,1
470,1,1
520,1,1
540,1,1
590,1,1
640,1,1
690,1,1
740,1,1
790,1,1
810,1,1
860,1,1
910,1,1
960,1,1
1010,1,1
1060,1,1
1080,1,1
1130,1,1
1180,1,1
1230,1,1
1280,1,1
1330,1,1
1350,1,1
1400,1,1
1450,1,1
1500,1,1
1550,1,1
1600,1,1
1620,1,1
1670,1,1
1720,1,1
1770,1,1
1820,1,1
1870,1,1
1890,1,1
1940,1,1
1990,1,1
2040,1,1
2090,1,1
2140,1,1
2160,1,1
2210,1,1
2260,1,1
2310,1,1
2360,1,1
2410,1,1
2430,1,1
2480,1,1
2530,1,1
2580,1,1
2630,1,1
2680,1,1
2700,1,1
2750,1,1
2800,1,1
2850,1,1
2900,1,1
2950,1,1
2970,1,1
3020,1,1
3070,1,1
3120,1,1
3170,1,1
3220,1,1
3240,1,1
3290,1,1
3340,1,1
3390,1,1
3440,1,1
3490,1,1
3510,1,1
3560,1,1
3610,1,1
3660,1,1
3710,1,1
3760,1,1
3780,1,1
3830,1,1
3880,1,1
3930,1,1
3980,1,1
4030,1,1
4050,1,1
4100,1,1
4150,1,1
4200,1,1
4250,1,1
4300,1,1
4320,1,1
4370,1,1
4420,1,1
4470,1,1
4520,1,1
4570,1,1
4590,1,1
4640,1,1
4690,1,1
4740,1,1
4790,1,1
4840,1,1
4860,1,1
4910,1,1
4960,1,1
5010,1,1
5060,1,1
5110,1,1
5130,1,1
5180,1,1
5230,1,1
5280,1,1
5330,1,1
5380,1,1
5400,1,1
5450,1,1
5500,1,1
5550,1,1
5600,1,1
5650,1,1
5670,1,1
5720,1,1
5770,1,1
5820,1,1
5870,1,1
5920,1,1
5940,1,1
5990,1,1
6040,1,1
6090,1,1
6140,1,1
6190,1,1
6210,1,1
6260,1,1
6310,1,1
6360,1,1
6410,1,1
6460,1,1
6480,1,1
6530,1,1
6580,1,1
6630,1,1
6680,1,1
6730,1,1
6750,1,1
6800,1,1
6850,1,1
6900,1,1
6950,1,1
7000,1,1
