~iteration~,alpha,beta,base
0,2,50,0.5
50,2,50,0.5
100,2,50,0.5
150,2,50,0.5
200,2,50,0.5
250,2,50,0.5
270,2,50,0.5
320,2,50,0.5
370,2,50,0.5
420,2,50,0.5
470,2,50,0.5
520,2,50,0.5
540,2,50,0.5
590,2,50,0.5
640,2,50,0.5
690,2,50,0.5
740,2,50,0.5
790,2,50,0.5
810,2,50,0.5
860,2,50,0.5
910,2,50,0.5
960,2,50,0.5
1010,2,50,0.5
1060,2,50,0.5
1080,2,50,0.5
1130,2,50,0.5
1180,2,50,0.5
1230,2,50,0.5
1280,2,50,0.5
1330,2,50,0.5
1350,2,50,0.5
1400,2,50,0.5
1450,2,50,0.5
1500,2,50,0.5
1550,2,50,0.5
1600,2,50,0.5
1620,2,50,0.5
1670,2,50,0.5
1720,2,50,0.5
1770,2,50,0.5
1820,2,50,0.5
1870,2,50,0.5
1890,2,50,0.5
1940,2,50,0.5
1990,2,50,0.5
2040,2,50,0.5
2090,2,50,0.5
2140,2,50,0.5
2160,2,50,0.5
2210,2,50,0.5
2260,2,50,0.5
2310,2,50,0.5
2360,2,50,0.5
2410,2,50,0.5
2430,2,50,0.5
2480,2,50,0.5
2530,2,50,0.5
2580,2,50,0.5
2630,2,50,0.5
2680,2,50,0.5
2700,2,50,0.5
2750,2,50,0.5
2800,2,50,0.5
2850,2,50,0.5
2900,2,50,0.5
2950,2,50,0.5
2970,2,50,0.5
3020,2,50,0.5
3070,2,50,0.5
3120,2,50,0.5
3170,2,50,0.5
3220,2,50,0.5
3240,2,50,0.5
3290,2,50,0.5
3340,2,50,0.5
3390,2,50,0.5
3440,2,50,0.5
3490,2,50,0.5
3510,2,50,0.5
3560,2,50,0.5
3610,2,50,0.5
3660,2,50,0.5
3710,2,50,0.5
3760,2,50,0.5
3780,2,50,0.5
3830,2,50,0.5
3880,2,50,0.5
3930,2,50,0.5
3980,2,50,0.5
4030,2,50,0.5
4050,2,50,0.5
4100,2,50,0.5
4150,2,50,0.5
4200,2,50,0.5
4250,2,50,0.5
4300,2,50,0.5
4320,2,50,0.5
4370,2,50,0.5
4420,2,50,0.5
4470,2,50,0.5
4520,2,50,0.5
4570,2,50,0.5
4590,2,50,0.5
4640,2,50,0.5
4690,2,50,0.5
4740,2,50,0.5
4790,2,50,0.5
