~iteration~,p,power
0,2,1
50,2,1
100,2,1
150,2,1
200,2,1
250,2,1
270,2,1
320,2,1
370,2,1
420,2,1
470,2,1
520,2,1
540,2,1
590,2,1
640,2,1
690,2,1
740,2,1
790,2,1
810,2,1
860,2,1
910,2,1
960,2,1
1010,2,1
1060,2,1
1080,2,1
1130,2,1
1180,2,1
1230,2,1
1280,2,1
1330,2,1
1350,2,1
1400,2,1
1450,2,1
1500,2,1
1550,2,1
1600,2,1
1620,2,1
1670,2,1
1720,2,1
1770,2,1
1820,2,1
1870,2,1
1890,2,1
1940,2,1
1990,2,1
2040,2,1
2090,2,1
2140,2,1
2160,2,1
2210,2,1
2260,2,1
2310,2,1
2360,2,1
2410,2,1
2430,2,1
2480,2,1
2530,2,1
2580,2,1
2630,2,1
2680,2,1
2700,2,1
2750,2,1
2800,2,1
2850,2,1
2900,2,1
2950,2,1
2970,2,1
3020,2,1
3070,2,1
3120,2,1
3170,2,1
3220,2,1
3240,2,1
3290,2,1
3340,2,1
3390,2,1
3440,2,1
3490,2,1
3510,2,1
3560,2,1
3610,2,1
3660,2,1
3710,2,1
3760,2,1
3780,2,1
3830,2,1
3880,2,1
3930,2,1
3980,2,1
4030,2,1
4050,2,1
4100,2,1
4150,2,1
4200,2,1
4250,2,1
4300,2,1
4320,2,1
4370,2,1
4420,2,1
4470,2,1
4520,2,1
4570,2,1
4590,2,1
4640,2,1
4690,2,1
4740,2,1
4790,2,1
4840,2,1
4860,2,1
4910,2,1
4960,2,1
5010,2,1
5060,2,1
5110,2,1
5130,2,1
5180,2,1
5230,2,1
5280,2,1
5330,2,1
5380,2,1
5400,2,1
5450,2,1
5500,2,1
5550,2,1
5600,2,1
5650,2,1
5670,2,1
5720,2,1
5770,2,1
5820,2,1
5870,2,1
5920,2,1
5940,2,1
5990,2,1
6040,2,1
6090,2,1
6140,2,1
6190,2,1
6210,2,1
6260,2,1
6310,2,1
6360,2,1
6410,2,1
6460,2,1
6480,2,1
6530,2,1
6580,2,1
6630,2,1
6680,2,1
6730,2,1
6750,2,1
6800,2,1
6850,2,1
6900,2,1
6950,2,1
7000,2,1
7020,2,1
7070,2,1
7120,2,1
7170,2,1
7220,2,1
7270,2,1
7290,2,1
7340,2,1
7390,2,1
7440,2,1
7490,2,1
7540,2,1
7560,2,1
7610,2,1
7660,2,1
7710,2,1
7760,2,1
7810,2,1
7830,2,1
7880,2,1
7930,2,1
7980,2,1
8030,2,1
8080,2,1
8100,2,1
8150,2,1
8200,2,1
8250,2,1
8300,2,1
8350,2,1
8370,2,1
8420,2,1
8470,2,1
8520,2,1
8570,2,1
8620,2,1
8640,2,1
8690,2,1
8740,2,1
8790,2,1
8840,2,1
8890,2,1
8910,2,1
8960,2,1
9010,2,1
9060,2,1
9110,2,1
9160,2,1
9180,2,1
9230,2,1
9280,2,1
9330,2,1
9380,2,1
9430,2,1
9450,2,1
9500,2,1
9550,2,1
9600,2,1
9650,2,1
9700,2,1
9720,2,1
9770,2,1
9820,2,1
9870,2,1
9920,2,1
9970,2,1
9990,2,1
10040,2,1
10090,2,1
10140,2,1
10190,2,1
10240,2,1
10260,2,1
10310,2,1
10360,2,1
10410,2,1
10460,2,1
10510,2,1
10530,2,1
10580,2,1
10630,2,1
10680,2,1
10730,2,1
10780,2,1
10800,2,1
10850,2,1
10900,2,1
10950,2,1
11000,2,1
11050,2,1
11070,2,1
11120,2,1
11170,2,1
11220,2,1
11270,2,1
11320,2,1
11340,2,1
11390,2,1
11440,2,1
11490,2,1
11540,2,1
11590,2,1
11610,2,1
11660,2,1
11710,2,1
11760,2,1
11810,2,1
11860,2,1
11880,2,1
11930,2,1
11980,2,1
12030,2,1
12080,2,1
12130,2,1
12150,2,1
12200,2,1
12250,2,1
12300,2,1
12350,2,1
12400,2,1
12420,2,1
12470,2,1
12520,2,1
12570,2,1
12620,2,1
12670,2,1
12690,2,1
12740,2,1
12790,2,1
12840,2,1
12890,2,1
12940,2,1
12960,2,1
13010,2,1
13060,2,1
13110,2,1
13160,2,1
13210,2,1
13230,2,1
13280,2,1
13330,2,1
13380,2,1
13430,2,1
13480,2,1
13500,2,1
13550,2,1
13600,2,1
13650,2,1
13700,2,1
13750,2,1
13770,2,1
13820,2,1
13870,2,1
13920,2,1
13970,2,1
14020,2,1
14040,2,1
14090,2,1
14140,2,1
14190,2,1
14240,2,1
14290,2,1
14310,2,1
14360,2,1
14410,2,1
14460,2,1
14510,2,1
14560,2,1
14580,2,1
14630,2,1
14680,2,1
14730,2,1
14780,2,1
14830,2,1
14850,2,1
14900,2,1
14950,2,1
15000,2,1
15050,2,1
15100,2,1
15120,2,1
15170,2,1
15220,2,1
15270,2,1
15320,2,1
15370,2,1
15390,2,1
15440,2,1
15490,2,1
15540,2,1
15590,2,1
15640,2,1
15660,2,1
15710,2,1
15760,2,1
15810,2,1
15860,2,1
15910,2,1
15930,2,1
15980,2,1
16030,2,1
16080,2,1
16130,2,1
16180,2,1
16200,2,1
16250,2,1
16300,2,1
16350,2,1
16400,2,1
16450,2,1
