~iteration~,lr
0,1e-05
50,1e-05
100,1e-05
150,1e-05
200,1e-05
250,1e-05
270,1e-05
320,1e-05
370,1e-05
420,1e-05
470,1e-05
520,1e-05
540,1e-05
590,1e-05
640,1e-05
690,1e-05
740,1e-05
790,1e-05
810,1e-05
860,1e-05
910,1e-05
960,1e-05
1010,1e-05
1060,1e-05
1080,1e-05
1130,1e-05
1180,1e-05
1230,1e-05
1280,1e-05
1330,1e-05
1350,1e-05
1400,1e-05
1450,1e-05
1500,1e-05
1550,1e-05
1600,1e-05
1620,1e-05
1670,1e-05
1720,1e-05
1770,1e-05
1820,1e-05
1870,1e-05
1890,1e-05
1940,1e-05
1990,1e-05
2040,1e-05
2090,1e-05
2140,1e-05
2160,1e-05
2210,1e-05
2260,1e-05
2310,1e-05
2360,1e-05
2410,1e-05
2430,1e-05
2480,1e-05
2530,1e-05
2580,1e-05
2630,1e-05
2680,1e-05
2700,1e-05
2750,1e-05
2800,1e-05
2850,1e-05
2900,1e-05
2950,1e-05
2970,1e-05
3020,1e-05
3070,1e-05
3120,1e-05
3170,1e-05
3220,1e-05
3240,1e-05
3290,1e-05
3340,1e-05
3390,1e-05
3440,1e-05
3490,1e-05
3510,1e-05
3560,1e-05
3610,1e-05
3660,1e-05
3710,1e-05
3760,1e-05
3780,1e-05
3830,1e-05
3880,1e-05
3930,1e-05
3980,1e-05
4030,1e-05
4050,1e-05
4100,1e-05
4150,1e-05
4200,1e-05
4250,1e-05
4300,1e-05
4320,1e-05
4370,1e-05
4420,1e-05
4470,1e-05
4520,1e-05
4570,1e-05
4590,1e-05
4640,1e-05
4690,1e-05
4740,1e-05
4790,1e-05
4840,1e-05
4860,1e-05
4910,1e-05
4960,1e-05
5010,1e-05
5060,1e-05
5110,1e-05
5130,1e-05
5180,1e-05
5230,1e-05
5280,1e-05
5330,1e-05
5380,1e-05
5400,1e-05
5450,1e-05
5500,1e-05
5550,1e-05
5600,1e-05
5650,1e-05
5670,1e-05
5720,1e-05
5770,1e-05
5820,1e-05
5870,1e-05
5920,1e-05
5940,1e-05
5990,1e-05
6040,1e-05
6090,1e-05
6140,1e-05
6190,1e-05
6210,1e-05
6260,1e-05
6310,1e-05
6360,1e-05
6410,1e-05
6460,1e-05
6480,1e-05
6530,1e-05
6580,1e-05
6630,1e-05
6680,1e-05
6730,1e-05
6750,1e-05
6800,1e-05
6850,1e-05
6900,1e-05
6950,1e-05
7000,1e-05
7020,1e-05
7070,1e-05
7120,1e-05
7170,1e-05
7220,1e-05
7270,1e-05
7290,1e-05
7340,1e-05
7390,1e-05
7440,1e-05
7490,1e-05
7540,1e-05
7560,1e-05
7610,1e-05
7660,1e-05
7710,1e-05
7760,1e-05
7810,1e-05
7830,1e-05
7880,1e-05
7930,1e-05
7980,1e-05
8030,1e-05
8080,1e-05
8100,1e-05
8150,1e-05
8200,1e-05
8250,1e-05
8300,1e-05
8350,1e-05
8370,1e-05
8420,1e-05
8470,1e-05
8520,1e-05
8570,1e-05
8620,1e-05
8640,1e-05
8690,1e-05
8740,1e-05
8790,1e-05
8840,1e-05
8890,1e-05
8910,1e-05
8960,1e-05
9010,1e-05
9060,1e-05
9110,1e-05
