~iteration~,epsilon
0,0.1
50,0.1
100,0.1
150,0.1
200,0.1
250,0.1
270,0.1
320,0.1
370,0.1
420,0.1
470,0.1
520,0.1
540,0.1
590,0.1
640,0.1
690,0.1
740,0.1
790,0.1
810,0.1
860,0.1
910,0.1
960,0.1
1010,0.1
1060,0.1
1080,0.1
1130,0.1
1180,0.1
1230,0.1
1280,0.1
1330,0.1
1350,0.1
1400,0.1
1450,0.1
1500,0.1
1550,0.1
1600,0.1
1620,0.1
1670,0.1
1720,0.1
1770,0.1
1820,0.1
1870,0.1
1890,0.1
1940,0.1
1990,0.1
2040,0.1
2090,0.1
2140,0.1
2160,0.1
2210,0.1
2260,0.1
2310,0.1
2360,0.1
2410,0.1
2430,0.1
2480,0.1
2530,0.1
2580,0.1
2630,0.1
2680,0.1
2700,0.1
2750,0.1
2800,0.1
2850,0.1
2900,0.1
2950,0.1
2970,0.1
3020,0.1
3070,0.1
3120,0.1
3170,0.1
3220,0.1
3240,0.1
3290,0.1
3340,0.1
3390,0.1
3440,0.1
3490,0.1
3510,0.1
3560,0.1
3610,0.1
3660,0.1
3710,0.1
3760,0.1
3780,0.1
3830,0.1
3880,0.1
3930,0.1
3980,0.1
4030,0.1
4050,0.1
4100,0.1
4150,0.1
4200,0.1
4250,0.1
4300,0.1
4320,0.1
4370,0.1
4420,0.1
4470,0.1
4520,0.1
4570,0.1
4590,0.1
4640,0.1
4690,0.1
4740,0.1
4790,0.1
4840,0.1
4860,0.1
4910,0.1
4960,0.1
5010,0.1
5060,0.1
5110,0.1
5130,0.1
5180,0.1
5230,0.1
5280,0.1
5330,0.1
5380,0.1
5400,0.1
5450,0.1
5500,0.1
5550,0.1
5600,0.1
5650,0.1
5670,0.1
5720,0.1
5770,0.1
5820,0.1
5870,0.1
5920,0.1
5940,0.1
5990,0.1
6040,0.1
6090,0.1
6140,0.1
6190,0.1
6210,0.1
6260,0.1
6310,0.1
6360,0.1
6410,0.1
6460,0.1
6480,0.1
6530,0.1
6580,0.1
6630,0.1
6680,0.1
6730,0.1
6750,0.1
6800,0.1
6850,0.1
6900,0.1
6950,0.1
7000,0.1
7020,0.1
7070,0.1
7120,0.1
7170,0.1
7220,0.1
7270,0.1
7290,0.1
7340,0.1
7390,0.1
7440,0.1
7490,0.1
7540,0.1
7560,0.1
7610,0.1
7660,0.1
7710,0.1
7760,0.1
7810,0.1
7830,0.1
7880,0.1
7930,0.1
7980,0.1
8030,0.1
8080,0.1
8100,0.1
8150,0.1
8200,0.1
8250,0.1
8300,0.1
8350,0.1
8370,0.1
8420,0.1
8470,0.1
8520,0.1
8570,0.1
8620,0.1
8640,0.1
8690,0.1
8740,0.1
8790,0.1
8840,0.1
8890,0.1
8910,0.1
8960,0.1
9010,0.1
9060,0.1
9110,0.1
9160,0.1
9180,0.1
9230,0.1
9280,0.1
9330,0.1
9380,0.1
9430,0.1
9450,0.1
9500,0.1
9550,0.1
9600,0.1
9650,0.1
9700,0.1
9720,0.1
9770,0.1
9820,0.1
9870,0.1
9920,0.1
9970,0.1
9990,0.1
10040,0.1
10090,0.1
10140,0.1
10190,0.1
10240,0.1
10260,0.1
10310,0.1
10360,0.1
10410,0.1
10460,0.1
10510,0.1
10530,0.1
10580,0.1
10630,0.1
10680,0.1
10730,0.1
10780,0.1
10800,0.1
10850,0.1
10900,0.1
10950,0.1
11000,0.1
11050,0.1
11070,0.1
11120,0.1
11170,0.1
11220,0.1
11270,0.1
11320,0.1
11340,0.1
11390,0.1
11440,0.1
11490,0.1
11540,0.1
11590,0.1
11610,0.1
11660,0.1
11710,0.1
11760,0.1
11810,0.1
11860,0.1
11880,0.1
11930,0.1
11980,0.1
12030,0.1
12080,0.1
12130,0.1
12150,0.1
12200,0.1
12250,0.1
12300,0.1
12350,0.1
12400,0.1
12420,0.1
12470,0.1
12520,0.1
12570,0.1
12620,0.1
12670,0.1
12690,0.1
12740,0.1
12790,0.1
12840,0.1
12890,0.1
12940,0.1
12960,0.1
13010,0.1
13060,0.1
13110,0.1
13160,0.1
13210,0.1
13230,0.1
13280,0.1
13330,0.1
13380,0.1
13430,0.1
13480,0.1
13500,0.1
13550,0.1
13600,0.1
13650,0.1
13700,0.1
13750,0.1
13770,0.1
13820,0.1
13870,0.1
13920,0.1
13970,0.1
14020,0.1
14040,0.1
14090,0.1
14140,0.1
14190,0.1
14240,0.1
14290,0.1
14310,0.1
14360,0.1
14410,0.1
14460,0.1
14510,0.1
14560,0.1
14580,0.1
14630,0.1
14680,0.1
14730,0.1
14780,0.1
14830,0.1
14850,0.1
14900,0.1
14950,0.1
15000,0.1
15050,0.1
15100,0.1
15120,0.1
15170,0.1
15220,0.1
15270,0.1
15320,0.1
15370,0.1
15390,0.1
15440,0.1
15490,0.1
15540,0.1
15590,0.1
15640,0.1
15660,0.1
15710,0.1
15760,0.1
15810,0.1
15860,0.1
15910,0.1
15930,0.1
15980,0.1
16030,0.1
16080,0.1
16130,0.1
16180,0.1
16200,0.1
16250,0.1
16300,0.1
16350,0.1
16400,0.1
16450,0.1
16470,0.1
16520,0.1
16570,0.1
16620,0.1
16670,0.1
16720,0.1
16740,0.1
16790,0.1
16840,0.1
16890,0.1
16940,0.1
16990,0.1
17010,0.1
17060,0.1
17110,0.1
17160,0.1
17210,0.1
17260,0.1
17280,0.1
17330,0.1
17380,0.1
17430,0.1
17480,0.1
17530,0.1
17550,0.1
17600,0.1
17650,0.1
17700,0.1
17750,0.1
17800,0.1
17820,0.1
17870,0.1
17920,0.1
17970,0.1
18020,0.1
18070,0.1
18090,0.1
18140,0.1
18190,0.1
18240,0.1
18290,0.1
18340,0.1
18360,0.1
18410,0.1
18460,0.1
18510,0.1
18560,0.1
18610,0.1
18630,0.1
18680,0.1
18730,0.1
18780,0.1
18830,0.1
18880,0.1
18900,0.1
18950,0.1
19000,0.1
19050,0.1
19100,0.1
19150,0.1
19170,0.1
19220,0.1
19270,0.1
19320,0.1
19370,0.1
19420,0.1
19440,0.1
19490,0.1
19540,0.1
19590,0.1
19640,0.1
19690,0.1
19710,0.1
19760,0.1
19810,0.1
19860,0.1
19910,0.1
19960,0.1
19980,0.1
20030,0.1
20080,0.1
20130,0.1
20180,0.1
20230,0.1
20250,0.1
20300,0.1
20350,0.1
20400,0.1
20450,0.1
20500,0.1
20520,0.1
20570,0.1
20620,0.1
20670,0.1
20720,0.1
20770,0.1
20790,0.1
20840,0.1
20890,0.1
20940,0.1
20990,0.1
21040,0.1
21060,0.1
21110,0.1
21160,0.1
21210,0.1
21260,0.1
21310,0.1
21330,0.1
21380,0.1
21430,0.1
21480,0.1
21530,0.1
21580,0.1
21600,0.1
21650,0.1
21700,0.1
21750,0.1
21800,0.1
21850,0.1
21870,0.1
21920,0.1
21970,0.1
22020,0.1
22070,0.1
22120,0.1
22140,0.1
22190,0.1
22240,0.1
22290,0.1
22340,0.1
22390,0.1
22410,0.1
22460,0.1
22510,0.1
22560,0.1
22610,0.1
22660,0.1
22680,0.1
22730,0.1
22780,0.1
22830,0.1
22880,0.1
22930,0.1
22950,0.1
23000,0.1
23050,0.1
23100,0.1
23150,0.1
23200,0.1
23220,0.1
23270,0.1
23320,0.1
23370,0.1
23420,0.1
23470,0.1
23490,0.1
23540,0.1
23590,0.1
23640,0.1
23690,0.1
23740,0.1
23760,0.1
23810,0.1
23860,0.1
23910,0.1
23960,0.1
24010,0.1
24030,0.1
24080,0.1
24130,0.1
24180,0.1
24230,0.1
24280,0.1
24300,0.1
24350,0.1
24400,0.1
24450,0.1
24500,0.1
24550,0.1
24570,0.1
24620,0.1
24670,0.1
24720,0.1
24770,0.1
24820,0.1
24840,0.1
24890,0.1
24940,0.1
24990,0.1
25040,0.1
25090,0.1
25110,0.1
25160,0.1
25210,0.1
25260,0.1
25310,0.1
25360,0.1
25380,0.1
25430,0.1
25480,0.1
25530,0.1
25580,0.1
25630,0.1
25650,0.1
25700,0.1
25750,0.1
25800,0.1
25850,0.1
25900,0.1
25920,0.1
25970,0.1
26020,0.1
26070,0.1
26120,0.1
26170,0.1
26190,0.1
26240,0.1
26290,0.1
26340,0.1
26390,0.1
26440,0.1
26460,0.1
26510,0.1
26560,0.1
26610,0.1
