[2023-11-20 13:48:43,606][numexpr.utils][INFO] - Note: NumExpr detected 64 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[2023-11-20 13:48:43,607][numexpr.utils][INFO] - NumExpr defaulting to 8 threads.
[2023-11-20 13:48:48,758][PML][INFO] - Initializing dataloader
[2023-11-20 13:48:48,759][PML][INFO] - Initializing dataloader iterator
[2023-11-20 13:48:50,751][PML][INFO] - Done creating dataloader iterator
[2023-11-20 13:48:50,754][PML][INFO] - TRAINING EPOCH 1
[2023-11-20 13:49:12,087][PML][INFO] - Evaluating epoch 1
[2023-11-20 13:49:12,088][PML][INFO] - Getting embeddings for the val split
[2023-11-20 13:49:15,449][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 13:49:15,459][PML][INFO] - running k-nn with k=51
[2023-11-20 13:49:15,459][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:49:16,037][PML][INFO] - running k-means clustering with k=48
[2023-11-20 13:49:16,038][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:49:16,883][PML][INFO] - New best accuracy! 0.3779960336782079
[2023-11-20 13:49:17,057][PML][INFO] - TRAINING EPOCH 2
[2023-11-20 13:49:34,102][PML][INFO] - Evaluating epoch 2
[2023-11-20 13:49:34,103][PML][INFO] - Getting embeddings for the val split
[2023-11-20 13:49:37,439][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 13:49:37,442][PML][INFO] - running k-nn with k=51
[2023-11-20 13:49:37,442][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:49:37,961][PML][INFO] - running k-means clustering with k=48
[2023-11-20 13:49:37,961][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:49:38,775][PML][INFO] - New best accuracy! 0.407674783803004
[2023-11-20 13:49:38,966][PML][INFO] - TRAINING EPOCH 3
[2023-11-20 13:49:56,637][PML][INFO] - Evaluating epoch 3
[2023-11-20 13:49:56,638][PML][INFO] - Getting embeddings for the val split
[2023-11-20 13:50:00,060][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 13:50:00,061][PML][INFO] - running k-nn with k=51
[2023-11-20 13:50:00,061][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:50:00,546][PML][INFO] - running k-means clustering with k=48
[2023-11-20 13:50:00,546][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:50:01,366][PML][INFO] - New best accuracy! 0.42874892681265486
[2023-11-20 13:50:01,558][PML][INFO] - TRAINING EPOCH 4
[2023-11-20 13:50:19,005][PML][INFO] - Evaluating epoch 4
[2023-11-20 13:50:19,006][PML][INFO] - Getting embeddings for the val split
[2023-11-20 13:50:22,348][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 13:50:22,350][PML][INFO] - running k-nn with k=51
[2023-11-20 13:50:22,350][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:50:22,837][PML][INFO] - running k-means clustering with k=48
[2023-11-20 13:50:22,837][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:50:23,671][PML][INFO] - New best accuracy! 0.43577470254111034
[2023-11-20 13:50:23,871][PML][INFO] - TRAINING EPOCH 5
[2023-11-20 13:50:41,808][PML][INFO] - Evaluating epoch 5
[2023-11-20 13:50:41,809][PML][INFO] - Getting embeddings for the val split
[2023-11-20 13:50:45,131][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 13:50:45,133][PML][INFO] - running k-nn with k=51
[2023-11-20 13:50:45,133][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:50:45,727][PML][INFO] - running k-means clustering with k=48
[2023-11-20 13:50:45,727][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:50:46,567][PML][INFO] - TRAINING EPOCH 6
[2023-11-20 13:51:04,413][PML][INFO] - Evaluating epoch 6
[2023-11-20 13:51:04,414][PML][INFO] - Getting embeddings for the val split
[2023-11-20 13:51:07,812][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 13:51:07,813][PML][INFO] - running k-nn with k=51
[2023-11-20 13:51:07,813][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:51:08,339][PML][INFO] - running k-means clustering with k=48
[2023-11-20 13:51:08,339][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:51:09,170][PML][INFO] - TRAINING EPOCH 7
[2023-11-20 13:51:26,336][PML][INFO] - Evaluating epoch 7
[2023-11-20 13:51:26,337][PML][INFO] - Getting embeddings for the val split
[2023-11-20 13:51:29,774][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 13:51:29,776][PML][INFO] - running k-nn with k=51
[2023-11-20 13:51:29,776][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:51:30,296][PML][INFO] - running k-means clustering with k=48
[2023-11-20 13:51:30,296][PML][INFO] - embedding dimensionality is 128
